protein2,i_redundancy,i_synergy,count_redundancy,count_synergy,i_sum,count_sum,synergy_score,synergy_fraction,independent_count,cooperative_count,total_count,independence_score
DLX2,-0.19,2.5100000000000002,1.0,18.0,2.7,19.0,0.9296296296296297,0.9473684210526315,1088.0,19.0,1107.0,0.982836495031617
DMBX1,-1.22,0.15,8.0,1.0,1.3699999999999999,9.0,0.10948905109489052,0.1111111111111111,1186.0,9.0,1195.0,0.9924686192468619
E2F1,-21.31,24.22,128.0,109.0,45.53,237.0,0.5319569514605754,0.459915611814346,883.0,237.0,1120.0,0.7883928571428571
E2F2,-16.740000000000002,39.95,103.0,139.0,56.690000000000005,242.0,0.7047098253660258,0.5743801652892562,796.0,242.0,1038.0,0.766859344894027
E2F3,-22.03,32.29,112.0,116.0,54.32,228.0,0.594440353460972,0.5087719298245614,722.0,228.0,950.0,0.76
E2F4,-25.490000000000002,25.2,146.0,113.0,50.69,259.0,0.497139475241665,0.4362934362934363,787.0,259.0,1046.0,0.7523900573613767
E2F6,-171.29,110.52,1043.0,634.0,281.81,1677.0,0.3921791277811291,0.3780560524746571,12321.0,1677.0,13998.0,0.8801971710244321
E2F7,-12.84,16.9,79.0,108.0,29.74,187.0,0.5682582380632145,0.5775401069518716,2370.0,187.0,2557.0,0.926867422761048
E2F8,-21.6,16.2,132.0,95.0,37.8,227.0,0.4285714285714286,0.4185022026431718,2092.0,227.0,2319.0,0.9021129797326434
EGR1,-1531.1200000000001,367.66,8338.0,2186.0,1898.7800000000002,10524.0,0.19362959373913777,0.20771569745343976,32082.0,10524.0,42606.0,0.7529925362624983
EHF,-370.21,645.2,1959.0,3045.0,1015.4100000000001,5004.0,0.6354083572153121,0.6085131894484412,14303.0,5004.0,19307.0,0.7408193919303879
ELF1,-438.44,690.6,2315.0,3251.0,1129.04,5566.0,0.6116700914050875,0.5840819259791592,14783.0,5566.0,20349.0,0.7264730453584943
ELF2,-627.5699999999999,403.16,2953.0,1672.0,1030.73,4625.0,0.3911402598158587,0.3615135135135135,4929.0,4625.0,9554.0,0.5159095666736445
ELF3,-263.14,570.45,1563.0,2715.0,833.59,4278.0,0.6843292265982078,0.6346423562412342,13615.0,4278.0,17893.0,0.7609120885262393
ELF4,-723.53,422.09,3350.0,1791.0,1145.62,5141.0,0.36843805101167926,0.3483758023730792,5472.0,5141.0,10613.0,0.5155940827287289
ELK1,-850.05,403.63,3966.0,1681.0,1253.6799999999998,5647.0,0.321956161061834,0.2976801841685851,3317.0,5647.0,8964.0,0.37003569834895134
ELK1::SREBF2,-531.81,204.66,2288.0,863.0,736.4699999999999,3151.0,0.27789319320542594,0.27388130752142176,2278.0,3151.0,5429.0,0.41959845275373
ELK3,-913.61,398.78,4169.0,1729.0,1312.3899999999999,5898.0,0.30385784713385505,0.29315022041369954,3490.0,5898.0,9388.0,0.37175117170856414
ELK4,-1430.29,584.72,6576.0,2631.0,2015.01,9207.0,0.2901821827186962,0.2857608341479309,6189.0,9207.0,15396.0,0.401987529228371
ERF,-681.78,280.02,3084.0,1181.0,961.8,4265.0,0.29114160948222084,0.276905041031653,2616.0,4265.0,6881.0,0.38017729981107395
ERF::FOXO1,-137.56,259.65,811.0,1245.0,397.21,2056.0,0.6536844490319982,0.605544747081712,7167.0,2056.0,9223.0,0.7770790415266182
ERF::NHLH1,-169.38,97.93,836.0,529.0,267.31,1365.0,0.36635367176686245,0.38754578754578756,4705.0,1365.0,6070.0,0.7751235584843492
